File,Sketch,Time-naive,Size-naive
f:04-nw:200-ml:06-0.trace,F(?1),900,
f:02-nw:200-ml:10-0.trace,"->(?1,U(!(p),q))",900,
f:05-nw:025-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",2.01,8
f:03-nw:010-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",1.27,6
f:01-nw:400-ml:06-0.trace,?u1(!(p)),7.62,3
f:06-nw:010-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",0.7,9
f:05-nw:100-ml:14-0.trace,"|(?1,F(&(p,F(q))))",900,
f:04-nw:400-ml:14-0.trace,?u1(p),21.74,2
f:09-nw:200-ml:06-0.trace,"?u1(->(q,?u1(p)))",7.88,5
f:07-nw:050-ml:06-0.trace,G(?1),900,
f:02-nw:050-ml:14-0.trace,"->(?1,U(!(p),q))",900,
f:01-nw:050-ml:10-0.trace,G(!(?1)),900,
f:08-nw:100-ml:14-0.trace,"?b1(F(q),?b2(p,q))",26.12,5
f:09-nw:400-ml:14-0.trace,"G(->(q,?1))",900,
f:08-nw:025-ml:06-0.trace,"->(?1,U(p,q))",900,
f:02-nw:100-ml:10-0.trace,"->(?1,U(!(p),q))",900,
f:03-nw:400-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",30.58,6
f:04-nw:010-ml:10-0.trace,?u1(p),0.35,2
f:07-nw:025-ml:10-0.trace,?u1(p),0.89,2
f:05-nw:200-ml:14-0.trace,"|(?1,F(&(p,F(q))))",900,
f:04-nw:025-ml:14-0.trace,?u1(p),1.22,2
f:01-nw:025-ml:06-0.trace,?u1(!(p)),0.56,3
f:06-nw:200-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
f:01-nw:100-ml:14-0.trace,G(!(?1)),900,
f:02-nw:010-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",0.6,6
f:08-nw:050-ml:10-0.trace,"?b1(F(q),?b2(p,q))",7.12,5
f:05-nw:400-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",28.99,8
f:07-nw:010-ml:14-0.trace,?u1(p),0.6,2
f:04-nw:100-ml:06-0.trace,F(?1),900,
f:08-nw:200-ml:14-0.trace,"?b1(F(q),?b2(p,q))",51.25,5
f:06-nw:050-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
f:09-nw:010-ml:10-0.trace,"G(->(q,?1))",68.28,6
f:03-nw:050-ml:06-0.trace,"G(->(q,?1))",224.89,7
f:05-nw:050-ml:10-0.trace,"|(?1,F(&(p,F(q))))",155.45,7
f:08-nw:400-ml:06-0.trace,"->(?1,U(p,q))",900,
f:09-nw:100-ml:06-0.trace,"?u1(->(q,?u1(p)))",3.76,5
f:09-nw:025-ml:14-0.trace,"G(->(q,?1))",417.98,6
f:01-nw:010-ml:10-0.trace,?u1(!(p)),0.4,3
f:06-nw:400-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",68.43,9
f:07-nw:100-ml:10-0.trace,G(?1),900,
f:02-nw:025-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",3.27,6
f:05-nw:200-ml:06-0.trace,"|(?1,F(&(p,F(q))))",490.1,8
f:03-nw:200-ml:10-0.trace,"G(->(q,?1))",900,
f:04-nw:025-ml:06-0.trace,?u1(p),0.47,2
f:01-nw:025-ml:14-0.trace,?u1(!(p)),1.55,3
f:01-nw:100-ml:06-0.trace,G(!(?1)),900,
f:02-nw:010-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",2.86,6
f:07-nw:010-ml:06-0.trace,?u1(p),0.24,2
f:04-nw:100-ml:14-0.trace,F(?1),900,
f:05-nw:400-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",123.74,8
f:08-nw:200-ml:06-0.trace,"?b1(F(q),?b2(p,q))",11.37,5
f:06-nw:050-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",900,
f:03-nw:050-ml:14-0.trace,"G(->(q,?1))",900,
f:09-nw:100-ml:14-0.trace,"?u1(->(q,?u1(p)))",12.12,5
f:08-nw:400-ml:14-0.trace,"->(?1,U(p,q))",900,
f:09-nw:025-ml:06-0.trace,"G(->(q,?1))",40.96,6
f:03-nw:100-ml:10-0.trace,"G(->(q,?1))",900,
f:02-nw:400-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",53.19,6
f:05-nw:010-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",1.74,8
f:01-nw:200-ml:06-0.trace,G(!(?1)),900,
f:06-nw:025-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",3.69,9
f:04-nw:200-ml:14-0.trace,F(?1),900,
f:05-nw:025-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",8.71,8
f:07-nw:200-ml:10-0.trace,G(?1),900,
f:01-nw:400-ml:14-0.trace,?u1(!(p)),24.29,3
f:03-nw:010-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",0.44,6
f:09-nw:050-ml:10-0.trace,"?u1(->(q,?u1(p)))",3.39,5
f:04-nw:400-ml:06-0.trace,?u1(p),7.17,2
f:06-nw:010-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",2.79,9
f:05-nw:100-ml:06-0.trace,"|(?1,F(&(p,F(q))))",106.01,8
f:09-nw:200-ml:14-0.trace,"?u1(->(q,?u1(p)))",23.59,5
f:07-nw:050-ml:14-0.trace,G(?1),900,
f:08-nw:010-ml:10-0.trace,"->(?1,U(p,q))",900,
f:02-nw:050-ml:06-0.trace,"->(?1,U(!(p),q))",900,
f:04-nw:050-ml:10-0.trace,F(?1),900,
f:09-nw:400-ml:06-0.trace,"G(->(q,?1))",900,
f:08-nw:100-ml:06-0.trace,"?b1(F(q),?b2(p,q))",5.49,5
f:08-nw:025-ml:14-0.trace,"->(?1,U(p,q))",900,
f:05-nw:050-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",7.9,8
f:08-nw:400-ml:06-0.trace,"?b1(F(q),?b2(p,q))",21.64,5
f:09-nw:100-ml:06-0.trace,"G(->(q,?1))",186.05,6
f:09-nw:025-ml:14-0.trace,"?u1(->(q,?u1(p)))",3.17,5
f:08-nw:200-ml:14-0.trace,"->(?1,U(p,q))",900,
f:06-nw:050-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",14.99,9
f:03-nw:050-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",1.96,6
f:09-nw:010-ml:10-0.trace,"?u1(->(q,?u1(p)))",0.9,5
f:04-nw:025-ml:14-0.trace,F(?1),900,
f:01-nw:025-ml:06-0.trace,G(!(?1)),900,
f:06-nw:200-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",29.91,9
