File name,Algo type,Original Formula,Sketch,Total time,Completed sketch,Final size,Verified
f:02-nw:010-ml:06-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","?b1(F(q),?b2(!(p),q))",0.56,"->(F(q),U(!(p),q))",7,TRUE
f:03-nw:050-ml:14-0.trace,tree-suf,"G(->(q,G(!(p))))","G(->(q,?1))",49.41,"G(->(q,G(!(p))))",4,TRUE
f:06-nw:050-ml:06-0.trace,tree-suf,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",3.30,"G(&(p,->(!(q),U(!(q),p))))",10,TRUE
f:02-nw:400-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","?b1(F(q),?b2(!(p),q))",287.77,"->(F(q),U(!(p),q))",7,TRUE
f:08-nw:050-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(p,q))","->(?1,U(p,q))",12.80,"->(F(q),U(p,q))",5,TRUE
f:08-nw:025-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(p,q))","->(?1,U(p,q))",5.37,"->(F(q),U(p,q))",5,TRUE
f:03-nw:100-ml:14-0.trace,tree-suf-bmc,"G(->(q,G(!(p))))","G(->(q,?1))",64.33,"G(->(q,!(F(p))))",4,TRUE
f:03-nw:010-ml:14-0.trace,tree-suf-bmc,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",1.50,"G(->(q,G(!(p))))",6,TRUE
f:03-nw:200-ml:10-0.trace,tree-suf,"G(->(q,G(!(p))))","G(->(q,?1))",103.75,"G(->(q,!(F(p))))",4,TRUE
f:05-nw:100-ml:14-0.trace,tree-suf,"|(G(!(p)),F(&(p,F(q))))","?b1(G(!(p)),F(?b2(p,F(q))))",65.11,"U(G(!(p)),F(&(p,F(q))))",9,TRUE
f:04-nw:100-ml:14-0.trace,tree-suf,F(p),F(?1),7.04,F(p),2,TRUE
f:02-nw:200-ml:10-0.trace,tree-suf,"->(F(q),U(!(p),q))","?b1(F(q),?b2(!(p),q))",71.61,"->(F(q),U(!(p),q))",7,TRUE
f:01-nw:100-ml:06-0.trace,tree-suf,G(!(p)),G(!(?1)),1.27,G(!(p)),3,TRUE
f:02-nw:100-ml:06-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",6.12,"->(F(q),U(!(p),q))",6,TRUE
f:01-nw:100-ml:10-0.trace,tree-suf-bmc,G(!(p)),?u1(!(p)),4.02,G(!(p)),3,TRUE
f:09-nw:050-ml:06-0.trace,tree-suf-bmc,"G(->(q,G(p)))","G(->(q,?1))",2.64,"G(->(q,G(p)))",4,TRUE
f:03-nw:400-ml:06-0.trace,tree-suf-bmc,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",52.25,"G(->(q,G(!(p))))",6,TRUE
f:09-nw:025-ml:06-0.trace,tree-suf-bmc,"G(->(q,G(p)))","G(->(q,?1))",1.28,"G(->(q,G(p)))",4,TRUE
f:09-nw:010-ml:14-0.trace,tree-suf-bmc,"G(->(q,G(p)))","G(->(q,?1))",0.66,"G(->(q,p))",4,TRUE
f:07-nw:100-ml:10-0.trace,tree-suf,G(p),G(?1),2.85,G(p),2,TRUE
f:01-nw:200-ml:14-0.trace,tree-suf,G(!(p)),?u1(!(p)),29.50,G(!(p)),3,TRUE
f:05-nw:200-ml:14-0.trace,tree-suf-bmc,"|(G(!(p)),F(&(p,F(q))))","?b1(G(!(p)),F(?b2(p,F(q))))",114.69,"|(G(!(p)),F(&(p,F(q))))",9,TRUE
f:03-nw:050-ml:06-0.trace,tree-suf-bmc,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",2.49,"G(->(q,G(!(p))))",6,TRUE
f:09-nw:400-ml:06-0.trace,tree-suf-bmc,"G(->(q,G(p)))","G(->(q,?1))",56.19,"G(->(q,G(p)))",4,TRUE
f:03-nw:025-ml:06-0.trace,tree-suf-bmc,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",1.19,"G(->(q,G(!(p))))",6,TRUE
f:04-nw:200-ml:06-0.trace,tree-suf,F(p),?u1(p),4.91,F(p),2,TRUE
f:08-nw:100-ml:06-0.trace,tree-suf-bmc,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",6.22,"->(F(q),U(p,q))",6,TRUE
f:05-nw:200-ml:06-0.trace,tree-suf,"|(G(!(p)),F(&(p,F(q))))","|(?1,F(&(p,F(q))))",19.45,"|(G(q),F(&(p,F(q))))",7,TRUE
f:06-nw:100-ml:10-0.trace,tree-suf,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",34.57,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",13,TRUE
f:01-nw:400-ml:14-0.trace,tree-suf-bmc,G(!(p)),G(!(?1)),97.11,G(!(p)),3,TRUE
f:07-nw:400-ml:10-0.trace,tree-suf,G(p),G(?1),40.95,G(p),2,TRUE
f:01-nw:010-ml:06-0.trace,tree-suf-bmc,G(!(p)),G(!(?1)),0.10,G(!(p)),3,TRUE
f:02-nw:025-ml:10-0.trace,tree-suf,"->(F(q),U(!(p),q))","?b1(F(q),?b2(!(p),q))",5.78,"->(F(q),&(!(p),q))",7,TRUE
f:03-nw:025-ml:10-0.trace,tree-suf,"G(->(q,G(!(p))))","G(->(q,?1))",11.07,"G(->(q,!(F(p))))",4,TRUE
f:01-nw:010-ml:10-0.trace,tree-suf,G(!(p)),?u1(!(p)),0.35,G(!(p)),3,TRUE
f:06-nw:400-ml:10-0.trace,tree-suf,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",226.44,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",13,TRUE
f:02-nw:010-ml:10-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","?b1(F(q),?b2(!(p),q))",1.38,"->(F(q),U(!(p),q))",7,TRUE
f:02-nw:010-ml:14-0.trace,tree-suf,"->(F(q),U(!(p),q))","?b1(F(q),?b2(!(p),q))",5.11,"->(F(q),&(!(p),q))",7,TRUE
f:07-nw:200-ml:06-0.trace,tree-suf-bmc,G(p),G(?1),3.95,G(p),2,TRUE
f:07-nw:010-ml:06-0.trace,tree-suf,G(p),?u1(p),0.16,G(p),2,TRUE
f:05-nw:400-ml:14-0.trace,tree-suf,"|(G(!(p)),F(&(p,F(q))))","?b1(G(!(p)),F(?b2(p,F(q))))",452.35,"|(G(!(p)),F(&(p,F(q))))",9,TRUE
f:01-nw:025-ml:14-0.trace,tree-suf-bmc,G(!(p)),G(!(?1)),0.69,G(!(p)),3,TRUE
f:05-nw:025-ml:06-0.trace,tree-suf,"|(G(!(p)),F(&(p,F(q))))","|(?1,F(&(p,F(q))))",1.93,"|(G(p),F(&(p,F(q))))",7,TRUE
f:01-nw:050-ml:14-0.trace,tree-suf-bmc,G(!(p)),G(!(?1)),1.88,G(!(p)),3,TRUE
f:04-nw:200-ml:10-0.trace,tree-suf-bmc,F(p),?u1(p),12.22,F(p),2,TRUE
f:06-nw:010-ml:06-0.trace,tree-suf,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",0.69,"G(&(p,->(!(q),U(!(q),p))))",10,TRUE
f:04-nw:400-ml:14-0.trace,tree-suf,F(p),F(?1),95.98,F(p),2,TRUE
