File name,Algo type,Original Formula,Sketch,Total time,Completed sketch,Final size,Verified
f:02-nw:010-ml:06-0.trace,tree-bmc,"->(F(q),U(!(p),q))","->(?1,?b1(!(p),q))",1.01,"->(F(q),&(!(p),q))",6,TRUE
f:09-nw:050-ml:14-0.trace,tree,"G(->(q,G(p)))","?u1(->(q,?u1(p)))",11.20,"G(->(q,G(p)))",5,TRUE
f:04-nw:200-ml:10-0.trace,tree-suf,F(p),?u1(?1),15.15,F(p),2,TRUE
f:09-nw:050-ml:14-0.trace,tree-suf-bmc,"G(->(q,G(p)))","?u1(->(q,?1))",8.94,"G(->(q,p))",4,TRUE
f:09-nw:025-ml:14-0.trace,tree-suf-bmc,"G(->(q,G(p)))","?u1(->(q,?1))",3.48,"G(->(q,p))",4,TRUE
f:07-nw:010-ml:14-0.trace,tree-bmc,G(p),?u1(?1),0.50,G(p),2,TRUE
f:05-nw:400-ml:06-0.trace,tree-bmc,"|(G(!(p)),F(&(p,F(q))))","?b1(?1,F(&(p,F(q))))",91.03,"->(F(p),F(&(p,F(q))))",7,TRUE
f:04-nw:100-ml:10-0.trace,tree,F(p),?u1(?1),7.06,F(p),2,TRUE
f:07-nw:400-ml:10-0.trace,tree-suf-bmc,G(p),?u1(p),43.74,G(p),2,TRUE
f:03-nw:025-ml:10-0.trace,tree,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",3.56,"G(->(q,G(!(p))))",6,TRUE
f:09-nw:200-ml:14-0.trace,tree,"G(->(q,G(p)))","G(->(q,?1))",133.56,"G(->(q,G(p)))",4,TRUE
f:05-nw:100-ml:06-0.trace,tree-suf-bmc,"|(G(!(p)),F(&(p,F(q))))","?b1(G(!(p)),F(?b2(p,F(q))))",9.64,"U(G(!(p)),F(&(p,F(q))))",9,TRUE
f:06-nw:400-ml:10-0.trace,tree,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",116.05,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",13,TRUE
f:02-nw:400-ml:14-0.trace,tree-bmc,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",323.72,"->(F(q),U(!(p),q))",6,TRUE
f:06-nw:200-ml:10-0.trace,tree-suf,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",64.94,"G(&(p,->(!(q),U(!(q),r))))",10,TRUE
f:02-nw:025-ml:06-0.trace,tree-bmc,"->(F(q),U(!(p),q))","?b1(F(q),?b2(!(p),q))",1.97,"->(F(q),&(!(p),q))",7,TRUE
f:05-nw:010-ml:14-0.trace,tree-bmc,"|(G(!(p)),F(&(p,F(q))))","|(?1,F(&(p,F(q))))",2.31,"|(G(q),F(&(p,F(q))))",7,TRUE
f:07-nw:025-ml:14-0.trace,tree-bmc,G(p),?u1(p),0.97,G(p),2,TRUE
f:05-nw:100-ml:06-0.trace,tree-suf,"|(G(!(p)),F(&(p,F(q))))","?b1(G(!(p)),F(?b2(p,F(q))))",13.12,"|(G(!(p)),F(&(p,F(q))))",9,TRUE
f:07-nw:400-ml:06-0.trace,tree-bmc,G(p),G(?1),43.94,G(p),2,TRUE
f:04-nw:010-ml:14-0.trace,tree-bmc,F(p),?u1(p),0.41,F(p),2,TRUE
f:04-nw:100-ml:06-0.trace,tree-suf,F(p),F(?1),1.24,F(p),2,TRUE
f:06-nw:025-ml:14-0.trace,tree-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",4.39,"G(&(p,->(!(q),U(!(q),p))))",10,TRUE
f:06-nw:400-ml:06-0.trace,tree-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",41.91,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",13,TRUE
f:04-nw:400-ml:06-0.trace,tree-suf-bmc,F(p),F(?1),15.86,F(p),2,TRUE
f:01-nw:010-ml:06-0.trace,tree-bmc,G(!(p)),?u1(!(p)),0.25,G(!(p)),3,TRUE
f:08-nw:200-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",120.62,"->(F(q),U(p,q))",6,TRUE
f:06-nw:100-ml:10-0.trace,tree-suf-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",17.13,"G(&(p,->(!(q),U(!(q),r))))",10,TRUE
f:03-nw:400-ml:14-0.trace,tree-bmc,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",65.07,"G(->(q,G(!(p))))",6,TRUE
f:03-nw:025-ml:06-0.trace,tree-bmc,"G(->(q,G(!(p))))","G(->(q,?1))",5.02,"G(->(q,G(!(p))))",4,TRUE
f:07-nw:200-ml:10-0.trace,tree-suf,G(p),?u1(p),13.35,G(p),2,TRUE
f:01-nw:100-ml:14-0.trace,tree-suf,G(!(p)),G(!(?1)),7.75,G(!(p)),3,TRUE
f:05-nw:025-ml:10-0.trace,tree-bmc,"|(G(!(p)),F(&(p,F(q))))","|(?1,F(&(p,F(q))))",4.14,"|(G(p),F(&(p,F(q))))",7,TRUE
f:01-nw:200-ml:06-0.trace,tree-suf,G(!(p)),?u1(!(p)),5.46,G(!(p)),3,TRUE
f:07-nw:010-ml:10-0.trace,tree-bmc,G(p),?u1(p),0.33,G(p),2,TRUE
f:09-nw:400-ml:14-0.trace,tree-suf-bmc,"G(->(q,G(p)))","?u1(->(q,?1))",391.88,"G(->(q,G(p)))",4,TRUE
f:04-nw:200-ml:14-0.trace,tree-suf,F(p),?u1(p),31.48,F(p),2,TRUE
f:02-nw:100-ml:10-0.trace,tree-suf,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",57.16,"->(U(->(q,q),q),U(!(p),q))",6,TRUE
f:05-nw:025-ml:10-0.trace,tree,"|(G(!(p)),F(&(p,F(q))))","?b1(?1,F(&(p,F(q))))",4.58,"U(p,F(&(p,F(q))))",7,TRUE
f:08-nw:050-ml:14-0.trace,tree-bmc,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",10.00,"->(F(q),&(p,q))",6,TRUE
f:01-nw:400-ml:10-0.trace,tree-bmc,G(!(p)),G(!(?1)),69.18,G(!(p)),3,TRUE
f:05-nw:200-ml:14-0.trace,tree-suf,"|(G(!(p)),F(&(p,F(q))))","|(?1,F(&(p,F(q))))",132.36,"|(G(p),F(&(p,F(q))))",7,TRUE
f:09-nw:050-ml:14-0.trace,tree-bmc,"G(->(q,G(p)))","G(->(q,?1))",7.41,"G(->(q,p))",4,TRUE
f:06-nw:200-ml:10-0.trace,tree-suf-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?1)))",215.72,"G(&(p,->(!(q),U(!(q),r))))",7,TRUE
f:04-nw:025-ml:10-0.trace,tree-bmc,F(p),?u1(p),0.70,F(p),2,TRUE
f:06-nw:010-ml:10-0.trace,tree-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",0.94,"G(&(p,->(!(q),U(!(q),r))))",10,TRUE
f:07-nw:200-ml:14-0.trace,tree-suf,G(p),?u1(?1),31.65,G(p),2,TRUE
f:09-nw:010-ml:14-0.trace,tree,"G(->(q,G(p)))","?u1(->(q,?1))",1.51,"G(->(q,p))",4,TRUE
f:03-nw:400-ml:10-0.trace,tree-bmc,"G(->(q,G(!(p))))","?u1(->(q,?1))",336.61,"G(->(q,G(!(p))))",4,TRUE
f:04-nw:050-ml:06-0.trace,tree-suf-bmc,F(p),F(?1),0.42,F(p),2,TRUE
f:02-nw:200-ml:06-0.trace,tree-suf,"->(F(q),U(!(p),q))","->(?1,?b1(!(p),q))",26.61,"->(F(q),U(!(p),q))",6,TRUE
f:04-nw:025-ml:06-0.trace,tree-suf-bmc,F(p),F(?1),0.19,F(p),2,TRUE
f:02-nw:200-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",116.60,"->(F(q),U(!(p),q))",6,TRUE
f:04-nw:010-ml:10-0.trace,tree-bmc,F(p),?u1(?1),0.36,F(p),2,TRUE
f:07-nw:025-ml:10-0.trace,tree-suf-bmc,G(p),?u1(p),0.63,G(p),2,TRUE
f:09-nw:010-ml:06-0.trace,tree-suf-bmc,"G(->(q,G(p)))","?u1(->(q,?1))",0.35,"G(->(q,p))",4,TRUE
f:07-nw:025-ml:10-0.trace,tree-bmc,G(p),?u1(?1),0.94,G(p),2,TRUE
f:07-nw:050-ml:10-0.trace,tree-suf-bmc,G(p),?u1(p),1.37,G(p),2,TRUE
f:08-nw:010-ml:06-0.trace,tree,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",1.03,"->(F(q),&(p,q))",6,TRUE
f:02-nw:100-ml:10-0.trace,tree,"->(F(q),U(!(p),q))","?b1(F(q),?b2(!(p),q))",22.72,"->(F(q),&(!(p),q))",7,TRUE
f:08-nw:100-ml:10-0.trace,tree,"->(F(q),U(p,q))","->(?1,U(p,q))",31.52,"->(F(q),U(p,q))",5,TRUE
f:02-nw:010-ml:06-0.trace,tree,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",0.90,"->(F(q),U(!(p),q))",6,TRUE
f:08-nw:100-ml:14-0.trace,tree-bmc,"->(F(q),U(p,q))","->(?1,?b1(p,q))",45.75,"->(F(q),U(p,q))",5,TRUE
f:06-nw:200-ml:06-0.trace,tree,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,->(!(q),U(!(q),?1))))",25.93,"G(&(p,->(!(q),U(!(q),r))))",10,TRUE
f:09-nw:010-ml:06-0.trace,tree-suf,"G(->(q,G(p)))","?u1(->(q,?1))",0.40,"G(->(q,p))",4,TRUE
f:03-nw:050-ml:10-0.trace,tree-suf,"G(->(q,G(!(p))))","?u1(->(q,?1))",27.04,"G(->(q,!(F(p))))",4,TRUE
f:06-nw:025-ml:10-0.trace,tree-suf-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?1)))",24.24,"G(&(p,->(!(q),->(X(q),r))))",7,TRUE
f:08-nw:010-ml:06-0.trace,tree-suf-bmc,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",0.66,"->(F(q),&(p,q))",6,TRUE
f:04-nw:050-ml:06-0.trace,tree,F(p),F(?1),1.04,F(p),2,TRUE
f:06-nw:050-ml:10-0.trace,tree-suf-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?1)))",51.79,"G(&(p,->(!(q),->(X(q),r))))",7,TRUE
f:08-nw:400-ml:10-0.trace,tree,"->(F(q),U(p,q))","->(?1,?b1(p,q))",201.34,"->(F(q),U(p,q))",5,TRUE
f:08-nw:400-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",305.30,"->(F(q),U(p,q))",6,TRUE
f:02-nw:050-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",13.45,"->(F(q),U(!(p),q))",6,TRUE
f:02-nw:025-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",5.64,"->(F(q),U(!(p),q))",6,TRUE
f:01-nw:050-ml:10-0.trace,tree-suf,G(!(p)),G(!(?1)),1.21,G(!(p)),3,TRUE
f:04-nw:200-ml:06-0.trace,tree-suf-bmc,F(p),F(?1),4.32,F(p),2,TRUE
f:09-nw:400-ml:14-0.trace,tree-suf,"G(->(q,G(p)))","G(->(q,?1))",412.96,"G(->(q,G(p)))",4,TRUE
f:09-nw:025-ml:06-0.trace,tree-suf,"G(->(q,G(p)))","?u1(->(q,?u1(p)))",1.35,"G(->(q,G(p)))",5,TRUE
f:04-nw:200-ml:06-0.trace,tree,F(p),?u1(p),3.43,F(p),2,TRUE
f:07-nw:050-ml:14-0.trace,tree,G(p),?u1(?1),4.44,G(p),2,TRUE
f:01-nw:010-ml:14-0.trace,tree,G(!(p)),?u1(!(?1)),0.73,G(!(p)),3,TRUE
f:05-nw:200-ml:14-0.trace,tree,"|(G(!(p)),F(&(p,F(q))))","?b1(?1,F(&(p,F(q))))",146.08,"U(p,F(&(p,F(q))))",7,TRUE
f:08-nw:400-ml:14-0.trace,tree-suf,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",383.20,"->(F(q),U(p,q))",6,TRUE
f:09-nw:100-ml:14-0.trace,tree-suf-bmc,"G(->(q,G(p)))","G(->(q,?1))",34.83,"G(->(q,G(p)))",4,TRUE
f:08-nw:025-ml:06-0.trace,tree-suf,"->(F(q),U(p,q))","->(?1,U(p,q))",1.73,"->(F(q),U(p,q))",5,TRUE
f:06-nw:050-ml:06-0.trace,tree,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",6.49,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",13,TRUE
f:07-nw:200-ml:10-0.trace,tree-suf-bmc,G(p),?u1(p),11.92,G(p),2,TRUE
f:02-nw:200-ml:06-0.trace,tree,"->(F(q),U(!(p),q))","->(?1,?b1(!(p),q))",36.78,"->(F(q),U(!(p),q))",6,TRUE
f:06-nw:050-ml:06-0.trace,tree-suf,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",6.38,"G(&(p,U(!(q),->(!(q),&(r,!(q))))))",13,TRUE
f:01-nw:050-ml:14-0.trace,tree,G(!(p)),?u1(!(p)),3.11,G(!(p)),3,TRUE
f:02-nw:010-ml:06-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",0.62,"->(F(q),U(!(p),q))",6,TRUE
f:06-nw:010-ml:06-0.trace,tree,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?1)))",0.90,"G(&(p,|(!(q),p)))",7,TRUE
f:09-nw:100-ml:10-0.trace,tree-bmc,"G(->(q,G(p)))","G(->(q,?1))",20.66,"G(->(q,G(p)))",4,TRUE
f:06-nw:400-ml:10-0.trace,tree-suf-bmc,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?1)))",442.20,"G(&(p,->(!(q),U(!(q),r))))",7,TRUE
f:04-nw:100-ml:06-0.trace,tree-suf-bmc,F(p),?u1(?1),1.58,F(p),2,TRUE
f:03-nw:050-ml:14-0.trace,tree-suf,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",15.53,"G(->(q,G(!(p))))",6,TRUE
f:09-nw:025-ml:10-0.trace,tree,"G(->(q,G(p)))","G(->(q,?1))",1.76,"G(->(q,p))",4,TRUE
f:03-nw:200-ml:14-0.trace,tree,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",46.42,"G(->(q,G(!(p))))",6,TRUE
f:08-nw:100-ml:10-0.trace,tree-bmc,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",13.67,"->(F(q),U(p,q))",6,TRUE
f:01-nw:010-ml:10-0.trace,tree-suf-bmc,G(!(p)),?u1(!(p)),0.30,G(!(p)),3,TRUE
f:09-nw:200-ml:14-0.trace,tree-suf-bmc,"G(->(q,G(p)))","?u1(->(q,?1))",108.12,"G(->(q,G(p)))",4,TRUE
f:02-nw:050-ml:14-0.trace,tree-suf,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",22.86,"->(F(q),U(!(p),q))",6,TRUE
f:07-nw:010-ml:14-0.trace,tree,G(p),?u1(p),0.62,G(p),2,TRUE
f:07-nw:050-ml:06-0.trace,tree-suf,G(p),G(?1),0.47,G(p),2,TRUE
f:03-nw:050-ml:14-0.trace,tree,"G(->(q,G(!(p))))","G(->(q,?1))",54.73,"G(->(q,G(!(p))))",4,TRUE
f:09-nw:200-ml:06-0.trace,tree-bmc,"G(->(q,G(p)))","?u1(->(q,?1))",29.18,"G(->(q,G(p)))",4,TRUE
f:03-nw:100-ml:14-0.trace,tree-suf-bmc,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",33.44,"G(->(q,G(!(p))))",6,TRUE
f:05-nw:050-ml:06-0.trace,tree-suf,"|(G(!(p)),F(&(p,F(q))))","?b1(?1,F(&(p,F(q))))",3.69,"U(p,F(&(p,F(q))))",7,TRUE
f:02-nw:400-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(!(p),q))","->(?1,U(!(p),q))",296.59,"->(F(q),U(!(p),q))",6,TRUE
f:08-nw:050-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",13.65,"->(F(q),&(p,q))",6,TRUE
f:08-nw:025-ml:14-0.trace,tree-suf-bmc,"->(F(q),U(p,q))","?b1(F(q),?b2(p,q))",5.75,"->(F(q),&(p,q))",6,TRUE
f:01-nw:200-ml:14-0.trace,tree,G(!(p)),G(!(?1)),32.87,G(!(p)),3,TRUE
f:05-nw:010-ml:14-0.trace,tree,"|(G(!(p)),F(&(p,F(q))))","|(?1,F(&(p,F(q))))",3.42,"|(G(q),F(&(p,F(q))))",7,TRUE
f:08-nw:200-ml:06-0.trace,tree-suf-bmc,"->(F(q),U(p,q))","->(?1,?b1(p,q))",22.36,"->(F(q),U(p,q))",5,TRUE
f:06-nw:025-ml:14-0.trace,tree,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))","G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",15.11,"G(&(p,->(!(q),U(!(q),&(r,!(q))))))",13,TRUE
f:03-nw:400-ml:06-0.trace,tree-bmc,"G(->(q,G(!(p))))","G(->(q,?1))",121.91,"G(->(q,G(!(p))))",4,TRUE
f:01-nw:100-ml:06-0.trace,tree-suf,G(!(p)),?u1(!(p)),1.90,G(!(p)),3,TRUE
f:03-nw:400-ml:14-0.trace,tree,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",91.89,"G(->(q,G(!(p))))",6,TRUE
f:03-nw:025-ml:14-0.trace,tree-bmc,"G(->(q,G(!(p))))","?u1(->(q,?u1(!(p))))",4.05,"G(->(q,G(!(p))))",6,TRUE
f:01-nw:010-ml:14-0.trace,tree-bmc,G(!(p)),G(!(?1)),0.29,G(!(p)),3,TRUE
