File,Sketch,Time-tree_suf,Size-tree_suf
f:02-nw:010-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",0.72,7
f:05-nw:400-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",66.56,9
f:05-nw:025-ml:14-0.trace,"|(?1,F(&(p,F(q))))",8.87,7
f:07-nw:010-ml:14-0.trace,?u1(p),0.62,2
f:04-nw:400-ml:06-0.trace,F(?1),16.07,2
f:04-nw:025-ml:14-0.trace,?u1(p),1.35,2
f:06-nw:010-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",2.90,10
f:01-nw:025-ml:06-0.trace,?u1(!(p)),0.39,3
f:01-nw:400-ml:14-0.trace,G(!(?1)),96.42,3
f:03-nw:010-ml:06-0.trace,"G(->(q,?1))",0.89,4
f:09-nw:050-ml:10-0.trace,"G(->(q,?1))",3.85,4
f:09-nw:200-ml:14-0.trace,"G(->(q,?1))",117.25,4
f:08-nw:200-ml:14-0.trace,"?b1(F(q),?b2(p,q))",163.70,6
f:08-nw:100-ml:06-0.trace,"->(?1,U(p,q))",7.35,5
f:09-nw:100-ml:06-0.trace,"?u1(->(q,?u1(p)))",5.98,5
f:08-nw:400-ml:06-0.trace,"->(?1,U(p,q))",52.42,5
f:08-nw:025-ml:14-0.trace,"?b1(F(q),?b2(p,q))",12.00,6
f:05-nw:050-ml:10-0.trace,"|(?1,F(&(p,F(q))))",9.58,7
f:04-nw:050-ml:10-0.trace,?u1(p),1.67,2
f:09-nw:400-ml:06-0.trace,"?u1(->(q,?u1(p)))",55.57,5
f:09-nw:025-ml:14-0.trace,"G(->(q,?1))",2.57,4
f:07-nw:050-ml:14-0.trace,?u1(p),3.33,2
f:08-nw:010-ml:10-0.trace,"?b1(F(q),?b2(p,q))",2.42,6
f:02-nw:050-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",3.93,7
f:03-nw:050-ml:06-0.trace,"G(->(q,?1))",7.40,4
f:09-nw:010-ml:10-0.trace,"G(->(q,?1))",0.50,4
f:06-nw:050-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",19.20,10
f:06-nw:200-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",62.17,10
f:05-nw:100-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",11.73,9
f:04-nw:100-ml:06-0.trace,F(?1),1.12,2
f:07-nw:200-ml:10-0.trace,?u1(p),11.30,2
f:01-nw:100-ml:14-0.trace,G(!(?1)),7.43,3
f:01-nw:200-ml:06-0.trace,?u1(!(p)),4.95,3
f:04-nw:200-ml:14-0.trace,?u1(p),30.40,2
f:02-nw:100-ml:10-0.trace,"->(?1,U(!(p),q))",23.44,6
f:03-nw:100-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",19.55,6
f:05-nw:200-ml:14-0.trace,"|(?1,F(&(p,F(q))))",126.01,7
f:01-nw:050-ml:10-0.trace,G(!(?1)),1.14,3
f:09-nw:400-ml:14-0.trace,"G(->(q,?1))",393.56,4
f:09-nw:025-ml:06-0.trace,"?u1(->(q,?u1(p)))",1.30,5
f:08-nw:400-ml:14-0.trace,"?b1(F(q),?b2(p,q))",375.32,6
f:08-nw:025-ml:06-0.trace,"->(?1,U(p,q))",1.62,5
f:06-nw:050-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",6.37,13
f:03-nw:050-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",15.19,6
f:02-nw:050-ml:14-0.trace,"->(?1,U(!(p),q))",21.77,6
f:07-nw:050-ml:06-0.trace,G(?1),0.40,2
