File,Sketch,Time-naive,Size-naive,Time-tree,Size-tree,Time-tree_bmc,Size-tree_bmc,Time-tree_suf,Size-tree_suf,Time-tree_suf_bmc,Size-tree_suf_bmc
f:06-nw:400-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",120.13,9,229.41,13,103.28,13,401.42,13,398.53,13
f:09-nw:100-ml:10-0.trace,"?u1(->(q,?u1(p)))",7.46,5,13.33,5,10.67,5,18.49,5,16.57,5
f:09-nw:050-ml:14-0.trace,"?u1(->(q,?u1(p)))",5.88,5,11.2,5,7.73,5,14.39,5,11.30,5
f:01-nw:400-ml:10-0.trace,?u1(!(p)),16.25,3,14.96,3,12.25,3,49.98,3,47.17,3
f:06-nw:010-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",1.52,9,3,13,1.9,13,3.05,13,1.84,13
f:05-nw:025-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",4.2,8,6.92,9,3.94,9,7.19,9,3.83,9
f:06-nw:025-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",7.38,9,15.11,13,6.65,13,15.60,13,7.81,13
f:03-nw:025-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",0.99,6,1.82,6,1.6,6,1.43,6,1.19,6
f:02-nw:400-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",105.92,6,164.38,7,69.85,7,385.29,7,287.77,7
f:07-nw:400-ml:06-0.trace,?u1(p),6.95,2,6.99,2,6.24,2,16.86,2,16.24,2
f:05-nw:010-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",3.22,8,5.57,9,2.3,9,5.10,9,2.39,9
f:09-nw:200-ml:10-0.trace,"?u1(->(q,?u1(p)))",14.3,5,28.38,5,20.67,5,52.52,5,48.31,5
f:04-nw:050-ml:10-0.trace,?u1(p),1.84,2,1.64,2,1.29,2,1.67,2,1.37,2
f:09-nw:400-ml:06-0.trace,"?u1(->(q,?u1(p)))",15.15,5,25.94,5,23.18,5,55.57,5,52.77,5
f:08-nw:025-ml:14-0.trace,"?b1(F(q),?b2(p,q))",7.09,5,10.95,6,4.89,6,12.00,6,5.41,6
f:07-nw:050-ml:14-0.trace,?u1(p),2.9,2,2.81,2,1.88,2,3.33,2,2.59,2
f:02-nw:050-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",2.86,6,4.88,7,3.88,7,3.93,7,2.93,7
f:08-nw:010-ml:10-0.trace,"?b1(F(q),?b2(p,q))",1.9,5,2.62,6,1.46,6,2.42,6,1.32,6
f:07-nw:200-ml:10-0.trace,?u1(p),6.67,2,5.86,2,4.66,2,11.30,2,10.86,2
f:05-nw:100-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",7.33,8,11.88,9,9.06,9,11.73,9,8.26,9
f:03-nw:100-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",7.83,6,14.82,6,11.39,6,19.55,6,16.90,6
f:01-nw:200-ml:06-0.trace,?u1(!(p)),4.1,3,3.71,3,3.41,3,4.95,3,4.63,3
f:04-nw:200-ml:14-0.trace,?u1(p),10.9,2,10.93,2,7.63,2,30.40,2,26.89,2
f:08-nw:400-ml:14-0.trace,"?b1(F(q),?b2(p,q))",101.43,5,161.69,6,66.57,6,375.32,6,291.93,6
f:09-nw:025-ml:06-0.trace,"?u1(->(q,?u1(p)))",1.03,5,1.54,5,1.38,5,1.30,5,1.23,5
f:06-nw:050-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",3.88,9,6.49,13,5.17,13,6.37,13,4.92,13
f:03-nw:050-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",6.18,6,11.74,6,7.97,6,15.19,6,12.10,6
f:03-nw:200-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",15.83,6,28.08,6,22.48,6,55.06,6,50.18,6
f:01-nw:100-ml:06-0.trace,?u1(!(p)),2.08,3,1.92,3,1.75,3,1.66,3,1.56,3
f:04-nw:100-ml:14-0.trace,?u1(p),5.71,2,5.24,2,3.73,2,9.18,2,7.90,2
f:07-nw:100-ml:10-0.trace,?u1(p),3.48,2,2.97,2,2.3,2,3.97,2,3.61,2
f:05-nw:200-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",13.99,8,21.18,9,16.79,9,23.55,9,18.89,9
